Code,Name,Name KH,Category Code,Unit ID,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image,Type(standard or service)
8010030001T,HDPE Pipe OD 315mm PN 4 SDR 41,ទុយោ OD៣១៥ PN 4 SDR 41,HDPE PIPE TAP,4,0,194.64,10, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
8010030002T,HDPE Pipe OD 355mm PN 4 SDR 41,ទុយោ OD៣៥៥ PN 4 SDR 41,HDPE PIPE TAP,4,0,247.68,10, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
8010030003T,HDPE Pipe OD 400mm PN 4 SDR 41,ទុយោ OD៤០០ PN 4 SDR 41,HDPE PIPE TAP,4,0,313.86,10, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
8010030004T,HDPE Pipe OD 450mm PN 4 SDR 41,ទុយោ OD៤៥០ PN 4 SDR 41,HDPE PIPE TAP,4,0,401.64,10, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
8010030005T,HDPE Pipe OD 500mm PN 4 SDR 41,ទុយោ OD៥០០ PN 4 SDR 41,HDPE PIPE TAP,4,0,499.86,10, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
8010030006T,HDPE Pipe OD 560mm PN 4 SDR 41,ទុយោ OD៥៦០ PN 4 SDR 41,HDPE PIPE TAP,4,0,622.5,10, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
8010030007T,HDPE Pipe OD 630mm PN 4 SDR 41,ទុយោ OD៦៣០ PN 4 SDR 41,HDPE PIPE TAP,4,0,787.5,10, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
8010030008T,HDPE Pipe OD 710mm PN 4 SDR 41,ទុយោ OD៧១០ PN 4 SDR 41,HDPE PIPE TAP,4,0,1003.86,10, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
8010030009T,HDPE Pipe OD 800mm PN 4 SDR 41,ទុយោ OD៨០០ PN 4 SDR 41,HDPE PIPE TAP,4,0,1272.78,10, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
8010030010T,HDPE Pipe OD 900mm PN 4 SDR 41,ទុយោ OD៩០០ PN 4 SDR 41,HDPE PIPE TAP,4,0,1617,10, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
